,Code,Description,Relative Value,FUD,PC/TC Split
,87480,"Infectious agent detection by nucleic acid (DNA or RNA); Candida species, direct probe technique",24.64,XXX,0/100
,87481,"Infectious agent detection by nucleic acid (DNA or RNA); Candida species, ampli- fied probe technique",49.29,XXX,0/100
,87482,"Infectious agent detection by nucleic acid (DNA or RNA); Candida species, quanti- fication",49.6,XXX,0/100
,87483,"Infectious agent detection by nucleic acid (DNA or RNA); central nervous system pathogen (eg, Neisseria meningitidis, Streptococcus pneumoniae, Listeria, Hae- mophilus influenzae, E. coli, Streptococcus agalactiae, enterovirus, human pare- chovirus, herpes simplex virus type 1 and 2, human herpesvirus 6, cytomegalovirus, varicella zoster virus, Cryptococcus), includes multiplex reverse transcription, when performed, and multiplex amplified probe technique, multiple",461.85,XXX,0/100
,87485,"Infectious agent detection by nucleic acid (DNA or RNA); Chlamydia pneumoniae, direct probe technique",24.64,XXX,0/100
,87486,"Infectious agent detection by nucleic acid (DNA or RNA); Chlamydia pneumoniae, amplified probe technique",49.29,XXX,0/100
,87487,"Infectious agent detection by nucleic acid (DNA or RNA); Chlamydia pneumoniae, quantification",49.6,XXX,0/100
,87490,"Infectious agent detection by nucleic acid (DNA or RNA); Chlamydia trachomatis, direct probe technique",24.64,XXX,0/100
,87491,"Infectious agent detection by nucleic acid (DNA or RNA); Chlamydia trachomatis, amplified probe technique",49.29,XXX,0/100
,87492,"Infectious agent detection by nucleic acid (DNA or RNA); Chlamydia trachomatis, quantification",49.6,XXX,0/100
,87493,"Infectious agent detection by nucleic acid (DNA or RNA); Clostridium difficile, toxin gene(s), amplified probe technique",44.36,XXX,0/100
,87495,"Infectious agent detection by nucleic acid (DNA or RNA); cytomegalovirus, direct probe technique",24.64,XXX,0/100
,87496,"Infectious agent detection by nucleic acid (DNA or RNA); cytomegalovirus, ampli- fied probe technique",49.29,XXX,0/100
,87497,"Infectious agent detection by nucleic acid (DNA or RNA); cytomegalovirus, quanti- fication",49.6,XXX,0/100
,87498,"Infectious agent detection by nucleic acid (DNA or RNA); enterovirus, amplified probe technique, includes reverse transcription when performed",67.77,XXX,0/100
,87500,"Infectious agent detection by nucleic acid (DNA or RNA); vancomycin resistance (eg, enterococcus species van A, van B), amplified probe technique",67.77,XXX,0/100
,87501,"Infectious agent detection by nucleic acid (DNA or RNA); influenza virus, includes reverse transcription, when performed, and amplified probe technique, each type or subtype",67.77,XXX,0/100
,87502,"Infectious agent detection by nucleic acid (DNA or RNA); influenza virus, for multi- ple types or sub-types, includes multiplex reverse transcription, when performed, and multiplex amplified probe technique, first 2 types or sub-types",67.77,XXX,0/100
+,87503,"Infectious agent detection by nucleic acid (DNA or RNA); influenza virus, for multi- ple types or sub-types, includes multiplex reverse transcription, when performed, and multiplex amplified probe technique, each additional influenza virus type or sub-type beyond 2 (List separately in addition to code for primary procedure)",67.77,XXX,0/100
,87505,"Infectious agent detection by nucleic acid (DNA or RNA); gastrointestinal patho- gen (eg, Clostridium difficile, E. coli, Salmonella, Shigella, norovirus, Giardia), includes multiplex reverse transcription, when performed, and multiplex amplified probe technique, multiple types or subtypes, 3-5 targets",142.21,XXX,0/100
,87506,"Infectious agent detection by nucleic acid (DNA or RNA); gastrointestinal patho- gen (eg, Clostridium difficile, E. coli, Salmonella, Shigella, norovirus, Giardia), includes multiplex reverse transcription, when performed, and multiplex amplified probe technique, multiple types or subtypes, 6-11 targets",236.58,XXX,0/100
,87507,"Infectious agent detection by nucleic acid (DNA or RNA); gastrointestinal patho- gen (eg, Clostridium difficile, E. coli, Salmonella, Shigella, norovirus, Giardia), includes multiplex reverse transcription, when performed, and multiplex amplified probe technique, multiple types or subtypes, 12-25 targets",461.85,XXX,0/100
