Code,Description,Relative Value,FUD,PC/TC Split
87552,"Infectious agent detection by nucleic acid (DNA or RNA); Mycobacteria species, quantification",49.6,XXX,0/100
87555,"Infectious agent detection by nucleic acid (DNA or RNA); Mycobacteria tubercu- losis, direct probe technique",24.64,XXX,0/100
87556,"Infectious agent detection by nucleic acid (DNA or RNA); Mycobacteria tubercu- losis, amplified probe technique",49.29,XXX,0/100
87557,"Infectious agent detection by nucleic acid (DNA or RNA); Mycobacteria tubercu- losis, quantification",49.6,XXX,0/100
87560,"Infectious agent detection by nucleic acid (DNA or RNA); Mycobacteria avium-intracellulare, direct probe technique",24.64,XXX,0/100
87561,"Infectious agent detection by nucleic acid (DNA or RNA); Mycobacteria avium-intracellulare, amplified probe technique",49.29,XXX,0/100
87562,"Infectious agent detection by nucleic acid (DNA or RNA); Mycobacteria avium-intracellulare, quantification",49.6,XXX,0/100
87580,"Infectious agent detection by nucleic acid (DNA or RNA); Mycoplasma pneumo- niae, direct probe technique",24.64,XXX,0/100
87581,"Infectious agent detection by nucleic acid (DNA or RNA); Mycoplasma pneumo- niae, amplified probe technique",49.29,XXX,0/100
87582,"Infectious agent detection by nucleic acid (DNA or RNA); Mycoplasma pneumo- niae, quantification",49.6,XXX,0/100
87590,"Infectious agent detection by nucleic acid (DNA or RNA); Neisseria gonorrhoeae, direct probe technique",24.64,XXX,0/100
87591,"Infectious agent detection by nucleic acid (DNA or RNA); Neisseria gonorrhoeae, amplified probe technique",49.29,XXX,0/100
87592,"Infectious agent detection by nucleic acid (DNA or RNA); Neisseria gonorrhoeae, quantification",49.6,XXX,0/100
87623,"Infectious agent detection by nucleic acid (DNA or RNA); Human Papillomavirus (HPV), low-risk types (eg, 6, 11, 42, 43, 44)",38.78,XXX,0/100
87624,"Infectious agent detection by nucleic acid (DNA or RNA); Human Papillomavirus (HPV), high-risk types (eg, 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 68)",38.78,XXX,0/100
87625,"Infectious agent detection by nucleic acid (DNA or RNA); Human Papillomavirus (HPV), types 16 and 18 only, includes type 45, if performed",38.78,XXX,0/100
87631,"Infectious agent detection by nucleic acid (DNA or RNA); respiratory virus (eg, adenovirus, influenza virus, coronavirus, metapneumovirus, parainfluenza virus, respiratory syncytial virus, rhinovirus), includes multiplex reverse transcription, when performed, and multiplex amplified probe technique, multiple types or sub- types, 3-5 targets",142.21,XXX,0/100
87632,"Infectious agent detection by nucleic acid (DNA or RNA); respiratory virus (eg, adenovirus, influenza virus, coronavirus, metapneumovirus, parainfluenza virus, respiratory syncytial virus, rhinovirus), includes multiplex reverse transcription, when performed, and multiplex amplified probe technique, multiple types or sub- types, 6-11 targets",236.58,XXX,0/100
87633,"Infectious agent detection by nucleic acid (DNA or RNA); respiratory virus (eg, adenovirus, influenza virus, coronavirus, metapneumovirus, parainfluenza virus, respiratory syncytial virus, rhinovirus), includes multiplex reverse transcription, when performed, and multiplex amplified probe technique, multiple types or sub- types, 12-25 targets",461.85,XXX,0/100
87634,"Infectious agent detection by nucleic acid (DNA or RNA); respiratory syncytial virus, amplified probe technique",77.89,XXX,0/100
87640,"Infectious agent detection by nucleic acid (DNA or RNA); Staphylococcus aureus, amplified probe technique",49.29,XXX,0/100
87641,"Infectious agent detection by nucleic acid (DNA or RNA); Staphylococcus aureus, methicillin resistant, amplified probe technique",49.29,XXX,0/100
87650,"Infectious agent detection by nucleic acid (DNA or RNA); Streptococcus, group A, direct probe technique",24.64,XXX,0/100
87651,"Infectious agent detection by nucleic acid (DNA or RNA); Streptococcus, group A,",49.29,XXX,0/100
