,Code,Description,Relative Value,FUD,PC/TC Split
,B 90630,"Influenza virus vaccine, quadrivalent (IIV4), split virus, preservative free, for intra- dermal use",3.90,XXX,
B,90632,"Hepatitis A vaccine (HepA), adult dosage, for intramuscular use",6.21,XXX,
B,90633,"Hepatitis A vaccine (HepA), pediatric/adolescent dosage-2 dose schedule, for intramuscular use",3.00,XXX,
B,90634,"Hepatitis A vaccine (HepA), pediatric/adolescent dosage-3 dose schedule, for intramuscular use",3.00,XXX,
B,90636,"Hepatitis A and hepatitis B vaccine (HepA-HepB), adult dosage, for intramuscular use",9.30,XXX,
,B 90644,"Meningococcal conjugate vaccine, serogroups C &YandHaemophilus influenzae type b vaccine (Hib-MenCY), 4 dose schedule, when administered to children 6 weeks-18 months of age, for intramuscular use",2.71,XXX,
,B 90647,"Haemophilus influenzae type b vaccine (Hib), PRP-OMP conjugate, 3 dose sched- ule, for intramuscular use",2.45,XXX,
,B 90648,"Haemophilus influenzae type b vaccine (Hib), PRP-T conjugate, 4 dose schedule, for intramuscular use",1.86,XXX,
 B,90649,"Human Papillomavirus vaccine, types 6, 11, 16, 18, quadrivalent (4vHPV), 3 dose schedule, for intramuscular use",12.85,XXX,
,B 90650,"HumanPapillomavirus vaccine, types 16, 18, bivalent (2vHPV), 3 dose schedule, for intramuscular use",BR,XXX,
 B,90651,"Human Papillomavirus vaccine types 6, 11, 16, 18, 31, 33, 45, 52, 58, nonavalent (9vHPV), 2 or 3 dose schedule, for intramuscular use",BR,XXX,
,B 90653,"Influenza vaccine, inactivated (IIV), subunit, adjuvanted, for intramuscular use",9.51,XXX,
,B 90654,"Influenza virus vaccine, trivalent (IIV3), split virus, preservative-free, for intrader- mal use",3.84,XXX,
,B 90655,"Influenza virus vaccine, trivalent (IIV3), split virus, preservative free, 0.25 mL dos- age, for intramuscular use",1.56,XXX,
,B 90656,"Influenza virus vaccine, trivalent (IIV3), split virus, preservative free, 0.5 mL dos- age, for intramuscular use",1.56,XXX,
,B 90657,"Influenza virus vaccine, trivalent (IIV3), split virus, 0.25 mL dosage, for intramuscu- lar use",1.14,XXX,
 B,90658,"Influenza virus vaccine, trivalent (IIV3), split virus, 0.5 mL dosage, for intramuscu- lar use",1.14,XXX,
 B,90660,"Influenza virus vaccine, trivalent, live (LAIV3), for intranasal use",2.03,XXX,
 B,90661,"Influenza virus vaccine, trivalent (ccIIV3), derived from cell cultures, subunit, pre- servative and antibiotic free, 0.5 mL dosage, for intramuscular use",BR,XXX,
B,90662,"Influenza virus vaccine (IIV), split virus, preservative free, enhanced immunoge- nicity via increased antigen content, for intramuscular use",6.47,XXX,
B,90664,"Influenza virus vaccine, live (LAIV), pandemic formulation, for intranasal use",BR,XXX,
B,90666,"Influenza virus vaccine (IIV), pandemic formulation, split virus, preservative free, for intramuscular use",BR,XXX,
B,90667,"Influenza virus vaccine (IIV), pandemic formulation, split virus, adjuvanted, for intramuscular use",BR,XXX,
B,90668,"Influenza virus vaccine (IIV), pandemic formulation, split virus, for intramuscular use",BR,XXX,
B,90670,"Pneumococcal conjugate vaccine, 13 valent (PCV13), for intramuscular use",10.52,XXX,
,B 90672,"Influenza virus vaccine, quadrivalent, live (LAIV4), for intranasal use",BR,XXX,
,B 90673,"Influenza virus vaccine, trivalent (RIV3), derived from recombinant DNA, hemag- glutinin (HA) protein only, preservative and antibiotic free, for intramuscular use",7.73,XXX,
,B 90674,"Influenza virus vaccine, quadrivalent (ccIIV4), derived from cell cultures, subunit, preservative and antibiotic free, 0.5 mL dosage, for intramuscular use",4.58,XXX,
B,90675,"Rabies vaccine, for intramuscular use",14.58,XXX,
B,90676,"Rabies vaccine, for intradermal use",BR,XXX,
B,90680,"Rotavirus vaccine, pentavalent (RV5), 3 dose schedule, live, for oral use",5.07,XXX,
