,Code,Description,Relative Value FUD,PC/TC Split
92310,"Prescription of optical and physical characteristics of and fitting of contact lens, with medical supervision of adaptation; corneal lens, both eyes, except for apha- kia",14.88,XXX,
92311,"Prescription of optical and physical characteristics of and fitting of contact lens, with medical supervision of adaptation; corneal lens for aphakia, 1 eye",12.85,XXX,
92312,"Prescription of optical and physical characteristics of and fitting of contact lens, with medical supervision of adaptation; corneal lens for aphakia, both eyes",16.91,XXX,
92313,"Prescription of optical and physical characteristics of and fitting of contact lens, with medical supervision of adaptation; corneoscleral lens",21.31,XXX,
92314,"Prescription of optical and physical characteristics of contact lens, with medical supervision of adaptation and direction of fitting by independent technician; cor- neal lens, both eyes except for aphakia",15.22,XXX,
92315,"Prescription of optical and physical characteristics of contact lens, with medical supervision of adaptation and direction of fitting by independent technician; cor- neal lens for aphakia, 1 eye",14.20,XXX,
92316,"Prescription of optical and physical characteristics of contact lens, with medical supervision of adaptation and direction of fitting by independent technician; cor- neal lens for aphakia, both eyes",23.50,XXX,
92317,"Prescription of optical and physical characteristics of contact lens, with medical supervision of adaptation and direction of fitting by independent technician; cor- neoscleral lens",15.22,XXX,
92325,"Modification of contact lens (separate procedure), with medical supervision of adaptation",8.03,XXX,
92326,Replacement of contact lens,8.79,XXX,
92340,"Fitting of spectacles, except for aphakia; monofocal",8.71,XXX,
92341,"Fitting of spectacles, except for aphakia; bifocal",9.47,XXX,
92342,"Fitting of spectacles, except for aphakia; multifocal, other than bifocal",13.02,XXX,
92352,Fitting of spectacle prosthesis for aphakia; monofocal,3.89,XXX,
92353,Fitting of spectacle prosthesis for aphakia; multifocal,4.23,XXX,
92354,Fitting of spectacle mounted low vision aid; single element system,63.23,XXX,
92355,Fitting of spectacle mounted low vision aid; telescopic or other compound lens system,30.65,XXX,
92358,"Prosthesis service for aphakia, temporary (disposable or loan, including materials)",7.18,XXX,
92370,Repair and refitting spectacles; except for aphakia,12.68,XXX,
92371,Repair and refitting spectacles; spectacle prosthesis for aphakia,20.97,XXX,
92499,Unlisted ophthalmological service or procedure,BR,XXX,
92502,Otolaryngologic examination under general anesthesia,29.09,000,
92504,Binocular microscopy (separate diagnostic procedure),4.31,XXX,
92507,"Treatment of speech, language, voice, communication, and/or auditory processing disorder; individual",7.78,XXX,
92508,"Treatment of speech, language, voice, communication, and/or auditory processing disorder; group, 2 or more individuals",5.92,XXX,
92511,Nasopharyngoscopy with endoscope (separate procedure),16.91,000,
92512,"Nasal function studies (eg, rhinomanometry)",12.18,XXX,
92516,"Facial nerve function studies (eg, electroneuronography)",13.36,XXX,
92520,"Laryngeal function studies (ie, aerodynamic testing and acoustic testing)",26.21,XXX,
92521,"Evaluation of speech fluency (eg, stuttering, cluttering)",22.10,XXX,
92522,"Evaluation of speech sound production (eg, articulation, phonological process, apraxia, dysarthria);",17.79,XXX,
92523,"Evaluation of speech sound production (eg, articulation, phonological process, apraxia, dysarthria); with evaluation of language comprehension and expression (eg, receptive and expressive language)",38.31,XXX,
92524,Behavioral and qualitative analysis of voice and resonance,17.03,XXX,
