,Code,Description,Relative Value,FUD,PC/TC Split
,93724,"Electronic analysis of antitachycardia pacemaker system (includes electrocardio- graphic recording, programming of device, induction and termination of tachycar- dia via implanted pacemaker, and interpretation of recordings)",106.87,000,60/40
,93740,Temperature gradient studies,16.91,XXX,75/25
,93745,"Initial set-up and programming by a physician or other qualified health care pro- fessional of wearable cardioverter-defibrillator includes initial programming of system, establishing baseline electronic ECG, transmission of data to data reposi- tory, patient instruction in wearing system and patient reporting of problems or events",BR,XXX,65/35
,93750,"Interrogation of ventricular assist device (VAD), in person, with physician or other qualified health care professional analysis of device parameters (eg, drivelines, alarms, power surges), review of device function (eg, flow and volume status, sep- tum status, recovery), with programming, if performed, and report",12.68,XXX,
,93770,Determination of venous pressure,2.54,XXX,90/10
,93784,"Ambulatory blood pressure monitoring, utilizing a system such as magnetic tape and/or computer disk, for 24 hours or longer; including recording, scanning analy- sis, interpretation and report",41.43,XXX,40/60
,93786,"Ambulatory blood pressure monitoring, utilizing a system such as magnetic tape and/or computer disk, for 24 hours or longer; recording only",6.17,XXX,0/100
,93788,"Ambulatory blood pressure monitoring, utilizing a system such as magnetic tape and/or computer disk, for 24 hours or longer; scanning analysis with report",18.60,XXX,0/100
,93790,"Ambulatory blood pressure monitoring, utilizing a system such as magnetic tape and/or computer disk, for 24 hours or longer; review with interpretation and report",18.09,XXX,
,93792,"Patient/caregiver training for initiation of homeinternational normalized ratio (INR) monitoring under the direction of a physician or other qualified health care profes- sional, face-to-face, including use and care of the INR monitor, obtaining blood sample, instructions for reporting home INR test results, and documentation of patient's/caregiver's ability to perform testing and report results",10.47,XXX,
,93793,"Anticoagulant management for a patient taking warfarin, must include review and interpretation of a newhome, office, or lab international normalized ratio (INR) test result, patient instructions, dosage adjustment (as needed), and scheduling of additional test(s), when performed",2.33,XXX,
,93797,Physician or other qualified health care professional services for outpatient car- diac rehabilitation; without continuous ECG monitoring (per session),6.76,000,
,93798,Physician or other qualified health care professional services for outpatient car- diac rehabilitation; with continuous ECG monitoring (per session),8.62,000,
,93799,Unlisted cardiovascular service or procedure,BR,XXX,
,93880,Duplex scan of extracranial arteries; complete bilateral study,41.43,XXX,40/60
,93882,Duplex scan of extracranial arteries; unilateral or limited study,29.76,XXX,40/60
,93886,Transcranial Doppler study of the intracranial arteries; complete study,45.83,XXX,40/60
,93888,Transcranial Doppler study of the intracranial arteries; limited study,27.39,XXX,40/60
,93890,Transcranial Doppler study of the intracranial arteries; vasoreactivity study,49.72,XXX,25/75
,93892,Transcranial Doppler study of the intracranial arteries; emboli detection without intravenous microbubble injection,52.76,XXX,25/75
,93893,Transcranial Doppler study of the intracranial arteries; emboli detection with intra- venous microbubble injection,49.38,XXX,25/75
,93895,"Quantitative carotid intima media thickness and carotid atheroma evaluation, bilateral",BR,XXX,
,93922,"Limited bilateral noninvasive physiologic studies of upper or lower extremity arter- ies, (eg, for lower extremity: ankle/brachial indices at distal posterior tibial and anterior tibial/dorsalis pedis arteries plus bidirectional, Doppler waveform record- ing and analysis at 1-2 levels, or ankle/brachial indices at distal posterior tibial and anterior tibial/dorsalis pedis arteries plus volume plethysmography at 1-2 levels, or ankle/brachial indices at distal posterior tibial and anterior tibial/dorsalis pedis arteries with, transcutaneous oxygen tension measurement at 1-2 levels)",26.21,XXX,40/60
