,Code,Description Relative Value,FUD,PC/TC Split
93923,"Complete bilateral noninvasive physiologic studies of upper or lower extremity arteries, 3 or more levels (eg, for lower extremity: ankle/brachial indices at distal posterior tibial and anterior tibial/dorsalis pedis arteries plus segmental blood pressure measurements with bidirectional Doppler waveform recording and anal- ysis, at 3 or more levels, or ankle/brachial indices at distal posterior tibial and anterior tibial/dorsalis pedis arteries plus segmental volume plethysmography at 3 or more levels, or ankle/brachial indices at distal posterior tibial and anterior tib- ial/dorsalis pedis arteries plus segmental transcutaneous oxygen tension mea- surements at 3 or more levels), or single level study with provocative functional maneuvers (eg, measurements with postural provocative tests, or measurements with reactive hyperemia)",30.44,XXX,40/60
93924,"Noninvasive physiologic studies of lower extremity arteries, at rest and following treadmill stress testing, (ie, bidirectional Doppler waveform or volume plethys- mography recording and analysis at rest with ankle/brachial indices immediately after and at timed intervals following performance of a standardized protocol on a motorized treadmill plus recording of time of onset of claudication or other symp- toms, maximal walking time, and time to recovery) complete bilateral study",28.75,XXX,40/60
93925,Duplex scan of lower extremity arteries or arterial bypass grafts; complete bilat- eral study,39.06,XXX,40/60
93926,Duplex scan of lower extremity arteries or arterial bypass grafts; unilateral or lim- ited study,23.34,XXX,40/60
93930,Duplex scan of upper extremity arteries or arterial bypass grafts; complete bilat- eral study,38.39,XXX,40/60
93931,Duplex scan of upper extremity arteries or arterial bypass grafts; unilateral or lim- ited study,19.95,XXX,40/60
93970,Duplex scan of extremity veins including responses to compression and other maneuvers; complete bilateral study,37.54,XXX,40/60
93971,Duplex scan of extremity veins including responses to compression and other maneuvers; unilateral or limited study,23.34,XXX,40/60
93975,"Duplex scan of arterial inflow and venous outflow of abdominal, pelvic, scrotal contents and/or retroperitoneal organs; complete study",33.31,XXX,40/60
93976,"Duplex scan of arterial inflow and venous outflow of abdominal, pelvic, scrotal contents and/or retroperitoneal organs; limited study",21.48,XXX,40/60
93978,"Duplex scan of aorta, inferior vena cava, iliac vasculature, or bypass grafts; com- plete study",35.51,XXX,40/60
93979,"Duplex scan of aorta, inferior vena cava, iliac vasculature, or bypass grafts; unilat- eral or limited study",21.31,XXX,40/60
93980,Duplex scan of arterial inflow and venous outflow of penile vessels; complete study,31.79,XXX,40/60
93981,Duplex scan of arterial inflow and venous outflow of penile vessels; follow-up or limited study,20.97,XXX,40/60
93990,"Duplex scan of hemodialysis access (including arterial inflow, body of access and venous outflow)",19.45,XXX,40/60
93998,Unlisted noninvasive vascular diagnostic study,0.00,XXX,
94002,"Ventilation assist and management, initiation of pressure or volume preset ventila- tors for assisted or controlled breathing; hospital inpatient/observation, initial day",24.18,XXX,
94003,"Ventilation assist and management, initiation of pressure or volume preset ventila- tors for assisted or controlled breathing; hospital inpatient/observation, each sub- sequent day",17.42,XXX,
94004,"Ventilation assist and management, initiation of pressure or volume preset ventila- tors for assisted or controlled breathing; nursing facility, per day",12.68,XXX,
94005,"Home ventilator management care plan oversight of a patient (patient not present) in home, domiciliary or rest home (eg, assisted living) requiring review of status, review of laboratories and other studies and revision of orders and respiratory care plan (as appropriate), within a calendar month, 30 minutes or more",22.32,XXX,
94010,"Spirometry, including graphic record, total and timed vital capacity, expiratory flow rate measurement(s), with or without maximal voluntary ventilation",8.54,XXX,40/60
94011,Measurement of spirometric forced expiratory flows in an infant or child through years of age,2 23.67,XXX,
