,Code,Description,Relative Value FUD,PC/TC Split
95981,"Electronic analysis of implanted neurostimulator pulse generator system (eg, rate, pulse amplitude and duration, configuration of wave form, battery status, elec- trode selectability, output modulation, cycling, impedance and patient measure- ments) gastric neurostimulator pulse generator/transmitter; subsequent, without reprogramming",10.15,XXX,
95982,"Electronic analysis of implanted neurostimulator pulse generator system (eg, rate, pulse amplitude and duration, configuration of wave form, battery status, elec- trode selectability, output modulation, cycling, impedance and patient measure- ments) gastric neurostimulator pulse generator/transmitter; subsequent, with reprogramming",14.88,XXX,
95990,"Refilling and maintenance of implantable pump or reservoir for drug delivery, spi- nal (intrathecal, epidural) or brain (intraventricular), includes electronic analysis of pump, when performed;",7.61,XXX,
95991,"Refilling and maintenance of implantable pump or reservoir for drug delivery, spi- nal (intrathecal, epidural) or brain (intraventricular), includes electronic analysis of pump, when performed; requiring skill of a physician or other qualified health",7.61,XXX,
95992,"Canalith repositioning procedure(s) (eg, Epley maneuver, Semont maneuver), per day",14.37,XXX,*
95999,Unlisted neurological or neuromuscular diagnostic procedure,BR,XXX,
96000,Comprehensive computer-based motion analysis by video-taping and 3D kinemat- ics;,0.00,XXX,0/100
96001,Comprehensive computer-based motion analysis by video-taping and 3D kinemat- ics; with dynamic plantar pressure measurements during walking,0.00,XXX,0/100
96002,"Dynamic surface electromyography, during walking or other functional activities, 1-12 muscles",0.00,XXX,0/100
96003,"Dynamic fine wire electromyography, during walking or other functional activities, 1 muscle",,0.00 XXX,0/100
96004,"Review and interpretation by physician or other qualified health care professional of comprehensive computer-based motion analysis, dynamic plantar pressure measurements, dynamic surface tional activities, and dynamic fine wire","during walking or other func- electromyography, with written report 0.00",XXX,electromyography
,"Neurofunctional testing selection and administration during noninvasive imaging functional brain mapping, with test administered entirely by a physician or other qualified health care professional (ie, psychologist), with review of test results and report",BR,XXX,96020 0/100
96040,"Medical genetics and genetic counseling services, each 30 minutes face-to-face with patient/family",9.67,XXX,
96101,"Psychological testing (includes psychodiagnostic assessment of emotionality, intellectual abilities, personality and psychopathology, eg, MMPI, Rorschach, WAIS), per hour of the psychologist's or physician's time, both face-to-face time administering tests to the patient and time interpreting these test results and pre- paring the report",24.52,XXX,
,"Psychological testing (includes psychodiagnostic assessment of emotionality, intellectual abilities, personality and psychopathology, eg, MMPI and WAIS), with qualified health care professional interpretation and report, administered by tech- nician, per hour of technician time, face-to-face",11.16,XXX,96102
96103,"Psychological testing (includes psychodiagnostic assessment of emotionality, intellectual abilities, personality and psychopathology, eg, MMPI), administered by a computer, with qualified health care professional interpretation and report",7.10,XXX,
96105,"Assessment of aphasia (includes assessment of expressive and receptive speech and language function, language comprehension, speech production ability, read- ing, spelling, writing, eg, by Boston Diagnostic Aphasia Examination) with inter- pretation and report, per hour",18.50,XXX,
96110,"Developmental screening (eg, developmental milestone survey, speech and lan- guage delay screen), with scoring and documentation, per standardized instru- ment",17.00,XXX,
96111,"Developmental testing, (includes assessment of motor, language, social, adaptive, and/or cognitive functioning by standardized developmental instruments) with interpretation and report",19.87,XXX,
