,,Code,Description,Relative Value,FUD,PC/TC Split
 +,,96936,"Reflectance confocal microscopy (RCM) for cellular and sub-cellular imaging of skin; interpretation and report only, each additional lesion (List separately in addi- tion to code for primary procedure)",7.94,ZZZ,
,,96999,Unlisted special dermatological service or procedure,BR,XXX,
,,97127,"Therapeutic interventions that focus on cognitive function (eg, attention, memory, reasoning, executive function, problem solving, and/or pragmatic functioning) and compensatory strategies to manage the performance of an activity (eg, managing time or schedules, initiating, organizing and sequencing tasks), direct (one-on-one) patient contact",Refer to Rules,XXX,
,,,"For codes 97139-97530, please see the Physical Medicine section.",,,
,B,97533,"Sensory integrative techniques to enhance sensory processing and promote adaptive responses to environmental demands, direct (one-on-one) patient con- tact, each 15 minutes",Refer to Rules,XXX,
,,,"For codes 97535-97546, please see the Physical Medicine section.",,,
,B,97597,"Debridement (eg, high pressure waterjet with/without suction, sharp selective debridement with scissors, scalpel and forceps), open wound, (eg, fibrin, devital- ized epidermis and/or dermis, exudate, debris, biofilm), including topical applica- tion(s), wound assessment, use of a whirlpool, when performed and instruction(s) for ongoing care, per session, total wound(s) surface area; first 20 sq cm or less",2.71,000,
+,B,97598,"Debridement (eg, high pressure waterjet with/without suction, sharp selective debridement with scissors, scalpel and forceps), open wound, (eg, fibrin, devital- ized epidermis and/or dermis, exudate, debris, biofilm), including topical applica- tion(s), wound assessment, use of a whirlpool, when performed and instruction(s) for ongoing care, per session, total wound(s) surface area; each additional 20 sq cm, or part thereof (List separately in addition to code for primary procedure)",3.21,ZZZ,
,B,97602,"Removal of devitalized tissue from wound(s), non-selective debridement, without anesthesia (eg, wet-to-moist dressings, enzymatic, abrasion, larval therapy), including topical application(s), wound assessment, and instruction(s) for ongoing care, per session",2.07,XXX,
,B,97605,"Negative pressure wound therapy (eg, vacuum assisted drainage collection), uti- lizing durable medical equipment (DME), including topical application(s), wound assessment, and instruction(s) for ongoing care, per session; total wound(s) sur- face area less than or equal to 50 square centimeters",4.40,XXX,
,B,97606,"Negative pressure wound therapy (eg, vacuum assisted drainage collection), uti- lizing durable medical equipment (DME), including topical application(s), wound assessment, and instruction(s) for ongoing care, per session; total wound(s) sur- face area greater than 50 square centimeters",7.61,XXX,
,B,97607,"Negative pressure wound therapy, (eg, vacuum assisted drainage collection), uti- lizing disposable, non-durable medical equipment including provision of exudate management collection system, topical application(s), wound assessment, and instructions for ongoing care, per session; total wound(s) surface area less than or equal to 50 square centimeters",9.92,XXX,
,B,97608,"Negative pressure wound therapy, (eg, vacuum assisted drainage collection), uti- lizing disposable, non-durable medical equipment including provision of exudate management collection system, topical application(s), wound assessment, and instructions for ongoing care, per session; total wound(s) surface area greater than 50 square centimeters",11.01,XXX,
,B,97610,"Low frequency, non-contact, non-thermal ultrasound, including topical applica- tion(s), when performed, wound assessment, and instruction(s) for ongoing care, per day",25.93,XXX,
,,,"For codes 97750-∞97800, please see the Physical Medicine section.",,,
,,97802,"Medical nutrition therapy; initial assessment and intervention, individual, face-to-face with the patient, each 15 minutes",1.86,XXX,
,,97803,"Medical nutrition therapy; re-assessment and intervention, individual, face-to-face with the patient, each 15 minutes",1.86,XXX,
,,97804,"Medical nutrition therapy; group (2 or more individual(s)), each 30 minutes",0.68,XXX,
,,97810,"Acupuncture, 1 or more needles; without electrical stimulation, initial 15 minutes of personal one-on-one contact with the patient",3.55,XXX,
