,Code Description,Relative Value,FUD,PC/TC Split
+,"97811 Acupuncture, minutes of personal dle(s) (List separately","1 or more needles; without electrical stimulation, each additional 15 one-on-one contact with the patient, with re-insertion of nee- in addition to code for primary procedure) 3.04",ZZZ,
,97813,"Acupuncture, 1 or more needles; with electrical stimulation, initial 15 minutes of personal one-on-one contact with the patient 3.89",XXX,
+,"97814 Acupuncture, minutes of dle(s) (List","1 or more needles; with electrical stimulation, each additional 15 personal one-on-one contact with the patient, with re-insertion of nee- separately in addition to code for primary procedure) 3.38",ZZZ,
,98925,Osteopathic manipulative treatment (OMT); 1-2 body regions involved 4.57,000,
,98926,Osteopathic manipulative treatment (OMT); 3-4 body regions involved 6.00,000,
,98927,Osteopathic manipulative treatment (OMT); 5-6 body regions involved 7.10,000,
,98928 Osteopathic manipulative,treatment (OMT); 7-8 body regions involved 7.78,000,
,98929 Osteopathic manipulative,treatment (OMT); 9-10 body regions involved 8.12,000,
,98940 Chiropractic manipulative,"treatment (CMT); spinal, 1-2 regions NC",000,
,98941 Chiropractic manipulative,"treatment (CMT); spinal, 3-4 regions NC",000,
,98942 Chiropractic,"manipulative treatment (CMT); spinal, 5 regions NC",000,
,98943,"Chiropractic manipulative treatment (CMT); extraspinal, 1 or more regions NC",XXX,
,98960,"Education and training for patient self-management by a qualified, nonphysician health care professional using a standardized curriculum, face-to-face with the patient (could include caregiver/family) each 30 minutes; individual patient 3.38",XXX,
,98961,"Education and training for patient self-management by a qualified, nonphysician health care professional using a standardized curriculum, face-to-face with the patient (could include caregiver/family) each 30 minutes; 2-4 patients 4.06",XXX,
,98962,"Education and training for patient self-management by a qualified, nonphysician health care professional using a standardized curriculum, face-to-face with the patient (could include caregiver/family) each 30 minutes; 5-8 patients 4.40",XXX,
~,98966,"Telephone assessment and management service provided by a qualified nonphy- sician health care professional to an established patient, parent, or guardian not originating from a related assessment and management service provided within the previous 7 days nor leading to an assessment and management service or pro- cedure within the next 24 hours or soonest available appointment; 5-10 minutes of medical discussion 5.07",XXX,
~,98967,"Telephone assessment and management service provided by a qualified nonphy- sician health care professional to an established patient, parent, or guardian not originating from a related assessment and management service provided within the previous 7 days nor leading to an assessment and management service or pro- cedure within the next 24 hours or soonest available appointment; 11-20 minutes 8.62",XXX,
~,98968,"of medical discussion Telephone assessment and management service provided by a qualified nonphy- sician health care professional to an established patient, parent, or guardian not originating from a related assessment and management service provided within the previous 7 days nor leading to an assessment and management service or pro- cedure within the next 24 hours or soonest available appointment; 21-30 minutes 10.99",XXX,
 ~,98969,"Online assessment and management service provided by a qualified nonphysician health care professional to an established patient or guardian, not originating from a related assessment and management service provided within the previous 7 days, using the Internet or similar electronic communications network 4.23",XXX,
,99000,Handling and/or conveyance of specimen for transfer from the office to a labora- tory NC,XXX,
,99001,Handling and/or conveyance of specimen for transfer from the patient in other than an office to a laboratory (distance may be indicated) NC,XXX,
,99002,"Handling, conveyance, and/or any other service in connection with the implemen- tation of an order involving devices (eg, designing, fitting, packaging, handling, delivery or mailing) when devices such as orthotics, protectives, prosthetics are fabricated by an outside laboratory or shop but which items have been designed, and are to be fitted and adjusted by the attending physician or other qualified NC",XXX,
