,Code,Description,Relative Value,FUD
,95831,"Muscle testing, manual (separate procedure) with report; extremity (excluding hand) or trunk",0.00,XXX
,95832,"Muscle testing, manual (separate procedure) with report; hand, with or without comparison with normal side",0.00,XXX
,95833,"Muscle testing, manual (separate procedure) with report; total evaluation of body, excluding hands",0.00,XXX
,95834,"Muscle testing, manual (separate procedure) with report; total evaluation of body, including hands",0.00,XXX
,95851,Range of motion measurements and report (separate procedure); each extremity (excluding hand) or each trunk section (spine),0.00,XXX
,95852,"Range of motion measurements and report (separate procedure); hand, with or without com- parison with normal side",0.00,XXX
 B,97010,Application of a modality to 1 or more areas; hot or cold packs,0.55,XXX
B,97012,"Application of a modality to 1 or more areas; traction, mechanical",2.71,XXX
B,97014,Application of a modality to 1 or more areas; electrical stimulation (unattended),2.66,XXX
B,97016,Application of a modality to 1 or more areas; vasopneumatic devices,3.30,XXX
B,97018,Application of a modality to 1 or more areas; paraffin bath,2.71,XXX
B,97022,Application of a modality to 1 or more areas; whirlpool,2.62,XXX
B,97024,"Application of a modality to 1 or more areas; diathermy (eg, microwave)",2.71,XXX
B,97026,Application of a modality to 1 or more areas; infrared,2.54,XXX
B,97028,Application of a modality to 1 or more areas; ultraviolet,2.54,XXX
B,97032,"Application of a modality to 1 or more areas; electrical stimulation (manual), each 15 minutes",2.45,XXX
B,97033,"Application of a modality to 1 or more areas; iontophoresis, each 15 minutes",3.55,XXX
B,97034,"Application of a modality to 1 or more areas; contrast baths, each 15 minutes",2.37,XXX
B,97035,"Application of a modality to 1 or more areas; ultrasound, each 15 minutes",2.41,XXX
B,97036,"Application of a modality to 1 or more areas; Hubbard tank, each 15 minutes",3.89,XXX
,97039,Unlisted modality (specify type and time if constant attendance),BR,XXX
B,97110,"Therapeutic procedure, 1 or more areas, each 15 minutes; therapeutic exercises to develop strength and endurance, range of motion and flexibility",3.97,XXX
B,97112,"Therapeutic procedure, 1 or more areas, each 15 minutes; neuromuscular reeducation of movement, balance, coordination, kinesthetic sense, posture, and/or proprioception for sit- ting and/or standing activities",3.89,XXX
B,97113,"Therapeutic procedure, 1 or more areas, each 15 minutes; aquatic therapy with therapeutic exercises",4.40,XXX
B,97116,"Therapeutic procedure, 1 or more areas, each 15 minutes; gait training (includes stair climb- ing)",3.51,XXX
B,97124,"Therapeutic procedure, 1 or more areas, each 15 minutes; massage, including effleurage, petrissage and/or tapotement (stroking, compression, percussion)",2.62,XXX
,97139,Unlisted therapeutic procedure (specify),2.89,XXX
B,97140,"Manual therapy techniques (eg, mobilization/ manipulation, manual lymphatic drainage, manual traction), 1 or more regions, each 15 minutes",4.23,XXX
B,97150,"Therapeutic procedure(s), group (2 or more individuals)",3.63,XXX
,97161,"Physical therapy evaluation: low complexity, requiring these components: A history with no personal factors and/or comorbidities that impact the plan of care; An examination of body system(s) using standardized tests and measures addressing 1-2 elements from any of the following: body structures and functions, activity limitations, and/or participation restric- tions; A clinical presentation with stable and/or uncomplicated characteristics; and Clinical decision making of low complexity using standardized patient assessment instrument and/or measurable assessment of functional outcome. Typically, 20 minutes are spent face-to-face with the patient and/or family.",9.47,XXX
