,,Code,Description,Relative Value,FUD
,,97169,"Athletic training evaluation, low complexity, requiring these components: A history and physical activity profile with no comorbidities that affect physical activity; An examination of affected body area and other symptomatic or related systems addressing 1-2 elements from any of the following: body structures, physical activity, and/or participation deficiencies; and Clinical decision making of low complexity using standardized patient assessment instru- ment and/or measurable assessment of functional outcome. Typically, 15 minutes are spent face-to-face with the patient and/or family.",10.60,XXX
,,97170,"Athletic training evaluation, moderate complexity, requiring these components: A medical history and physical activity profile with 1-2 comorbidities that affect physical activity; An examination of affected body area and other symptomatic or related systems addressing a total of 3 or more elements from any of the following: body structures, physical activity, and/or participation deficiencies; and Clinical decision making of moderate complexity using standardized patient assessment instrument and/or measurable assessment of functional outcome. Typically, 30 minutes are spent face-to-face with the patient and/or family.",10.60,XXX
,,97171,"Athletic training evaluation, high complexity, requiring these components: A medical history and physical activity profile, with 3 or more comorbidities that affect physical activity; A comprehensive examination of body systems using standardized tests and measures addressing a total of 4 or more elements from any of the following: body structures, physical activity, and/or participation deficiencies; Clinical presentation with unstable and unpredict- able characteristics; and Clinical decision making of high complexity using standardized patient assessment instrument and/or measurable assessment of functional outcome. Typi- cally, 45 minutes are spent face-to-face with the patient and/or family.",10.60,XXX
,,97172,"Re-evaluation of athletic training established plan of care requiring these components: An assessment of patient's current functional status when there is a documented change; and A revised plan of care using a standardized patient assessment instrument and/or measur- able assessment of functional outcome with an update in management options, goals, and interventions. Typically, 20 minutes are spent face-to-face with the patient and/or family.",5.20,XXX
,B,97530,"Therapeutic activities, direct (one-on-one) patient contact (use of dynamic activities to improve functional performance), each 15 minutes",2.87,XXX
,B,97535,"Self-care/home management training (eg, activities of daily living (ADL) and compensatory training, meal preparation, safety procedures, and instructions in use of assistive technology devices/adaptive equipment) direct one-on-one contact, each 15 minutes",3.38,XXX
,B,97537,"Community/work reintegration training (eg, shopping, transportation, money management, avocational activities and/or work environment/modification analysis, work task analysis, use of assistive technology device/adaptive equipment), direct one-on-one contact, each 15 minutes",3.38,XXX
,B,97542,"Wheelchair management (eg, assessment, fitting, training), each 15 minutes",2.37,XXX
,B ®,97545,Work hardening/conditioning ; initial 4 hours,28.00,XXX
+,B ®,97546,Work hardening/conditioning; each additional hour (List separately in addition to code for primary procedure),3.30,ZZZ
,B,97750,"Physical performance test or measurement (eg, musculoskeletal, functional capacity), with written report, each 15 minutes",0.00,XXX
,B,97755,"Assistive technology assessment (eg, to restore, augment or compensate for existing func- tion, optimize functional tasks and/or maximize environmental accessibility), direct one-on-one contact, with written report, each 15 minutes",NC,XXX
,B,97760,"Orthotic(s) management and training (including assessment and fitting when not otherwise reported), upper extremity(ies), lower extremity(ies) and/or trunk, initial orthotic(s) encoun- ter, each 15 minutes",4.23,XXX
,B,97761,"Prosthetic(s) training, upper and/or lower extremity(ies), initial prosthetic(s) encounter, each 15 minutes",4.23,XXX
,B,97763,"Orthotic(s)/prosthetic(s) management and/or training, upper extremity(ies), lower extrem- ity(ies), and/or trunk, subsequent orthotic(s)/prosthetic(s) encounter, each 15 minutes",3.55,XXX
,∞,97799,Unlisted physical medicine/rehabilitation service or procedure,BR,XXX
,,97800,Functional Capacity Evaluation,Refer to,
