,Code,Description,Relative Value,FUD,PC/TC Split
,0349T,"Radiologic examination, radiostereometric analysis (RSA); upper extremity(ies), (includes shoulder, elbow, and wrist, when performed)",BR,YYY,
,0350T,"Radiologic examination, radiostereometric analysis (RSA); lower extremity(ies), (includes hip, proximal femur, knee, and ankle, when performed)",BR,YYY,
,0351T,"Optical coherence tomography of breast or axillary lymph node, excised tissue, each specimen; real-time intraoperative",BR,YYY,
,0352T,"Optical coherence tomography of breast or axillary lymph node, excised tissue, each specimen; interpretation and report, real-time or referred",BR,YYY,
 0353T,,"Optical coherence tomography of breast, surgical cavity; real-time intraoperative",BR,YYY,
,0354T,"Optical coherence tomography of breast, surgical cavity; interpretation and report, real-time or referred",BR,YYY,
,0355T,"Gastrointestinal tract imaging, intraluminal (eg, capsule endoscopy), colon, with interpretation and report",36.27,YYY,
,0356T,"Insertion of drug-eluting implant (including punctal dilation and implant removal when performed) into lacrimal canaliculus, each",BR,YYY,
,0357T,Cryopreservation; immature oocyte(s),BR,XXX,
,0358T,"Bioelectrical impedance analysis whole body composition assessment, with inter- pretation and report",BR,YYY,
,0359T,"Behavior identification assessment, by the physician or other qualified health care professional, face-to-face with patient and caregiver(s), includes administration of standardized and non-standardized tests, detailed behavioral history, patient observation and caregiver interview, interpretation of test results, discussion of findings and recommendations with the primary guardian(s)/caregiver(s), and preparation of report",BR,YYY,
,0360T,"Observational behavioral follow-up assessment, includes physician or other quali- fied health care professional direction with interpretation and report, administered by one technician; first 30 minutes of technician time, face-to-face with the patient",BR,YYY,
 +,0361T,"Observational behavioral follow-up assessment, includes physician or other quali- fied health care professional direction with interpretation and report, administered by one technician; each additional 30 minutes of technician time, face-to-face with the patient (List separately in addition to code for primary service)",BR,ZZZ,
,0362T,"Exposure behavioral follow-up assessment, includes physician or other qualified health care professional direction with interpretation and report, administered by physician or other qualified health care professional with the assistance of one or more technicians; first 30 minutes of technician(s) time, face-to-face with the patient",BR,YYY,
 +,0363T,"Exposure behavioral follow-up assessment, includes physician or other qualified health care professional direction with interpretation and report, administered by physician or other qualified health care professional with the assistance of one or more technicians; each additional 30 minutes of technician(s) time, face-to-face with the patient (List separately in addition to code for primary procedure)",BR,ZZZ,
,0364T,"Adaptive behavior treatment by protocol, administered by technician, face-to-face with one patient; first 30 minutes of technician time",BR,YYY,
 +,0365T,"Adaptive behavior treatment by protocol, administered by technician, face-to-face with one patient; each additional 30 minutes of technician time (List separately in addition to code for primary procedure)",BR,ZZZ,
,0366T,"Group adaptive behavior treatment by protocol, administered by technician, face-to-face with two or more patients; first 30 minutes of technician time",BR,YYY,
 +,0367T,"Group adaptive behavior treatment by protocol, administered by technician, face-to-face with two or more patients; each additional 30 minutes of technician time (List separately in addition to code for primary procedure)",BR,ZZZ,
,0368T,Adaptive behavior treatment with protocol modification administered by physician or other qualified health care professional with one patient; first 30 minutes of patient face-to-face time,BR,YYY,
 +,0369T,Adaptive behavior treatment with protocol modification administered by physician or other qualified health care professional with one patient; each additional 30 minutes of patient face-to-face time (List separately in addition to code for primary procedure),BR,ZZZ,
