Code,Description,Relative Value,FUD,PC/TC Split
0389T,"Programming device evaluation (in person) with iterative adjustment of the implantable device to test the function of the device and select optimal permanent programmed values with analysis, review and report, leadless pacemaker system",10.19,XXX,
0390T,"Peri-procedural device evaluation (in person) and programming of device system parameters before or after a surgery, procedure or test with analysis, review and report, leadless pacemaker system",5.54,XXX,
0391T,"Interrogation device evaluation (in person) with analysis, review and report, includes connection, recording and disconnection per patient encounter, leadless pacemaker system",6.84,XXX,
0394T,"High dose rate electronic brachytherapy, skin surface application, per fraction, includes basic dosimetry, when performed",9.14,XXX,
0395T,"High dose rate electronic brachytherapy, interstitial or intracavitary treatment, per fraction, includes basic dosimetry, when performed",33.94,XXX,
0396T,Intra-operative use of kinetic balance sensor for implant stability during knee replacement arthroplasty (List separately in addition to code for primary proce- dure),BR,XXX,
0397T,"Endoscopic retrograde cholangiopancreatography (ERCP), with optical endomi- croscopy (List separately in addition to code for primary procedure)",BR,XXX,
0398T,"Magnetic resonance image guided high intensity focused ultrasound (MRgFUS), stereotactic ablation lesion, intracranial for movement disorder including stereo- tactic navigation and frame placement when performed",BR,XXX,
0399T,Myocardial strain imaging (quantitative assessment of myocardial mechanics using image-based analysis of local myocardial dynamics) (List separately in addi- tion to code for primary procedure),BR,XXX,
0400T,Multi-spectral digital skin lesion analysis of clinically atypical cutaneous pig- mented lesions for detection of melanomas and high risk melanocytic atypia; one to five lesions,BR,XXX,
0401T,Multi-spectral digital skin lesion analysis of clinically atypical cutaneous pig- mented lesions for detection of melanomas and high risk melanocytic atypia; six or more lesions,BR,XXX,
0402T,Collagen cross-linking of cornea (including removal of the corneal epithelium and intraoperative pachymetry when performed),BR,XXX,
0403T,"Preventive behavior change, intensive program of prevention of diabetes using a standardized diabetes prevention program curriculum, provided to individuals in a group setting, minimum 60 minutes, per day",BR,XXX,
0404T,"Transcervical uterine fibroid(s) ablation with ultrasound guidance, radiofrequency",BR,XXX,
0405T,"Oversight of the care of an extracorporeal liver assist system patient requiring review of status, review of laboratories and other studies, and revision of orders and liver assist care plan (as appropriate), within a calendar month, 30 minutes or more of non-face-to-face time",BR,XXX,
0406T,"Nasal endoscopy, surgical, ethmoid sinus, placement of drug eluting implant;",0.01,XXX,
0407T,"Nasal endoscopy, surgical, ethmoid sinus, placement of drug eluting implant; with biopsy, polypectomy or debridement",0.01,XXX,
0408T,"Insertion or replacement of permanent cardiac contractility modulation system, including contractility evaluation when performed, and programming of sensing and therapeutic parameters; pulse generator with transvenous electrodes",BR,XXX,
0409T including,"Insertion or replacement of permanent cardiac contractility modulation system, contractility evaluation when performed, and programming of sensing and therapeutic parameters; pulse generator only",BR,XXX,
0410T,"Insertion or replacement of permanent cardiac contractility modulation system, including contractility evaluation when performed, and programming of sensing and therapeutic parameters; atrial electrode only",BR,XXX,
0411T,"Insertion or replacement of permanent cardiac contractility modulation system, including contractility evaluation when performed, and programming of sensing and therapeutic parameters; ventricular electrode only",BR,XXX,
0412T,Removal of permanent cardiac contractility modulation system; pulse generator only,BR,XXX,
