Description,Relative Value,FUD,PC/TC Split
"Arthrocentesis, aspiration and/or injection, small joint or bursa (eg, fingers, toes); without ultrasound guidance",0.28,000,
"Arthrocentesis, aspiration and/or injection, intermediate joint or bursa (eg, tem- poromandibular, acromioclavicular, wrist, elbow or ankle, olecranon bursa); with- out ultrasound guidance",0.31,000,
"Arthrocentesis, aspiration and/or injection, major joint or bursa (eg, shoulder, hip, knee, subacromial bursa); without ultrasound guidance",0.25,000,
Aspiration and/or injection of ganglion cyst(s) any location,0.31,000,
Aspiration and injection for treatment of bone cyst,0.80,010,
"Insertion of wire or pin with application of skeletal traction, including removal (separate procedure)",0.70,010,
"Application of cranial tongs, caliper, or stereotactic frame, including removal (sep- arate procedure)",2.00,000,
Removal of tongs or halo applied by another individual,0.20,010,
"Removal of implant; superficial (eg, buried wire, pin or rod) (separate procedure)",0.35,010,
"Removal of implant; deep (eg, buried wire, pin, screw, metal band, nail, rod or plate)",2.40,090,
"Application of multiplane (pins or wires in more than 1 plane), unilateral, external fixation with stereotactic computer-assisted adjustment (eg, spatial frame), including imaging; initial and subsequent alignment(s), assessment(s), and com- putation(s) of adjustment schedule(s)",7.25,090,
"Application of multiplane (pins or wires in more than 1 plane), unilateral, external fixation with stereotactic computer-assisted adjustment (eg, spatial frame), including imaging; exchange (ie, removal and replacement) of strut, each",8.59,000,
"Bone graft, any donor area; minor or small (eg, dowel or button)",1.60,000,
"Tendon graft, from a distance (eg, palmaris, toe extensor, plantaris)",2.17,090,
"Tissue grafts, other (eg, paratenon, fat, dermis)",2.07,090,
Electrical stimulation to aid bone healing; invasive (operative),4.14,000,
"Low intensity ultrasound stimulation to aid bone healing, noninvasive (nonopera- tive)",2.59,000,
"Computer-assisted surgical navigational procedure for musculoskeletal proce- dures, image-less (List separately in addition to code for primary procedure)",0.83,ZZZ,
"Unlisted procedure, musculoskeletal system, general",BR,YYY,
"Decompression fasciotomy, leg; anterior and/or lateral compartments only",6.47,090,
"Decompression fasciotomy, leg; posterior compartment(s) only",6.04,090,
"Decompression fasciotomy, leg; anterior and/or lateral, and posterior compart- ment(s)",7.77,090,
"Incision and drainage, leg or ankle; deep abscess or hematoma",3.67,090,
"Incision and drainage, leg or ankle; infected bursa",3.67,090,
"Tenotomy, percutaneous, Achilles tendon (separate procedure); local anesthesia",3.45,010,
"Tenotomy, percutaneous, Achilles tendon (separate procedure); general anesthe- sia",3.45,010,
"Incision (eg, osteomyelitis or bone abscess), leg or ankle",5.18,090,
"Arthrotomy, ankle, including exploration, drainage, or removal of foreign body",6.47,090,
"Arthrotomy, posterior capsular release, ankle, with or without Achilles tendon lengthening",7.33,090,
"Biopsy, soft tissue of leg or ankle area; superficial",3.23,010,
"Biopsy, soft tissue of leg or ankle area; deep (subfascial or intramuscular)",3.88,090,
"Radical resection of tumor (eg, sarcoma), soft tissue of leg or ankle area; less than",6.47,090,
