,Code,Description,Relative Value FUD,PC/TC Split
27818,Closed treatment of trimalleolar ankle fracture; with manipulation,5.18,090,
27822,"Open treatment of trimalleolar ankle fracture, includes internal fixation, when per- formed, medial and/or lateral malleolus; without fixation of posterior lip",9.92,090,
27823,"Open treatment of trimalleolar ankle fracture, includes internal fixation, when per- formed, medial and/or lateral malleolus; with fixation of posterior lip",12.07,090,
27829,"Open treatment of distal tibiofibular joint (syndesmosis) disruption, includes inter- nal fixation, when performed",5.18,090,
27840,Closed treatment of ankle dislocation; without anesthesia,1.73,090,
27842,"Closed treatment of ankle dislocation; requiring anesthesia, with or without percu- taneous skeletal fixation",4.32,090,
27846,"Open treatment of ankle dislocation, with or without percutaneous skeletal fixa- tion; without repair or internal fixation",7.90,090,
27848,"Open treatment of ankle dislocation, with or without percutaneous skeletal fixa- tion; with repair or internal or external fixation",7.90,090,
27860,Manipulation of ankle under general anesthesia (includes application of traction or other fixation apparatus),3.23,010,
27870,"Arthrodesis, ankle, open",12.07,090,
27871,"Arthrodesis, tibiofibular joint, proximal or distal",11.36,090,
27888,"Amputation, ankle, through malleoli of tibia and fibula (eg, Syme, Pirogoff type pro- cedures), with plastic closure and resection of nerves",11.21,090,
27889,Ankle disarticulation,11.21,090,
27892,"Decompression fasciotomy, leg; anterior and/or lateral compartments only, with debridement of nonviable muscle and/or nerve",5.18,090,
27893,"Decompression fasciotomy, leg; posterior compartment(s) only, with debridement of nonviable muscle and/or nerve",5.18,090,
27894,"Decompression fasciotomy, leg; anterior and/or lateral, and posterior compart- ment(s), with debridement of nonviable muscle and/or nerve",7.77,090,
27899,"Unlisted procedure, leg or ankle",BR,YYY,
28001,"Incision and drainage, bursa, foot",3.23,010,
28002,"Incision and drainage below fascia, with or without tendon sheath involvement, foot; single bursal space",3.67,010,
28003,"Incision and drainage below fascia, with or without tendon sheath involvement, foot; multiple areas",3.67,090,
28005,"Incision, bone cortex (eg, osteomyelitis or bone abscess), foot",4.74,090,
28008,"Fasciotomy, foot and/or toe",3.23,090,
28010,"Tenotomy, percutaneous, toe; single tendon",3.23,090,
28011,"Tenotomy, percutaneous, toe; multiple tendons",3.23,090,
28020,"Arthrotomy, including exploration, drainage, or removal of loose or foreign body; intertarsal or tarsometatarsal joint",5.18,090,
28022,"Arthrotomy, including exploration, drainage, or removal of loose or foreign body; metatarsophalangeal joint",3.23,090,
28024,"Arthrotomy, including exploration, drainage, or removal of loose or foreign body; interphalangeal joint",3.23,090,
28035,"Release, tarsal tunnel (posterior tibial nerve decompression)",5.24,090,
28039,"Excision, tumor, soft tissue of foot or toe, subcutaneous; 1.5 cm or greater",3.42,090,
28041,"Excision, tumor, soft tissue of foot or toe, subfascial (eg, intramuscular); 1.5 cm or greater",4.14,090,
28043,"Excision, tumor, soft tissue of foot or toe, subcutaneous; less than 1.5 cm",3.23,090,
28045,"Excision, tumor, soft tissue of foot or toe, subfascial (eg, intramuscular); less than 1.5 cm",3.67,090,
28046,"Radical resection of tumor (eg, sarcoma), soft tissue of foot or toe; less than 3 cm",14.32,090,
