Code,Description,Relative Value,FUD,PC/TC Split
28299,"Correction, hallux valgus (bunionectomy), with sesamoidectomy, whenperformed; with double osteotomy, any method",7.56,090,
28300,"Osteotomy; calcaneus (eg, Dwyer or Chambers type procedure), with or without internal fixation",6.91,090,
28302,Osteotomy; talus,5.93,090,
28304,"Osteotomy, tarsal bones, other than calcaneus or talus;",5.24,090,
28305,"Osteotomy, tarsal bones, other than calcaneus or talus; with autograft (includes obtaining graft) (eg, Fowler type)",5.93,090,
28306,"Osteotomy, with or without lengthening, shortening or angular correction, meta- tarsal; first metatarsal",4.64,090,
28307,"Osteotomy, with or without lengthening, shortening or angular correction, meta- tarsal; first metatarsal with autograft (other than first toe)",5.18,090,
28308,"Osteotomy, with or without lengthening, shortening or angular correction, meta- tarsal; other than first metatarsal, each",3.45,090,
28309,"Osteotomy, with or without lengthening, shortening or angular correction, meta- tarsal; multiple (eg, Swanson type cavus foot procedure)",6.47,090,
28310,"Osteotomy, shortening, angular or rotational correction; proximal phalanx, first toe (separate procedure)",3.23,090,
28312,"Osteotomy, shortening, angular or rotational correction; other phalanges, any toe",3.23,090,
28313,"Reconstruction, angular deformity of toe, soft tissue procedures only (eg, overlap- ping second toe, fifth toe, curly toes)",3.23,090,
28315,"Sesamoidectomy, first toe (separate procedure)",3.23,090,
28320,"Repair, nonunion or malunion; tarsal bones",4.32,090,
28322,"Repair, nonunion or malunion; metatarsal, with or without bone graft (includes obtaining graft)",4.32,090,
28340,"Reconstruction, toe, macrodactyly; soft tissue resection",5.8,090,
28341,"Reconstruction, toe, macrodactyly; requiring bone resection",6.93,090,
28344,"Reconstruction, toe(s); polydactyly",3.43,090,
28345,"Reconstruction, toe(s); syndactyly, with or without skin graft(s), each web",4.87,090,
28360,"Reconstruction, cleft foot",11.02,090,
28400,Closed treatment of calcaneal fracture; without manipulation,1.94,090,
28405,Closed treatment of calcaneal fracture; with manipulation,2.59,090,
28406,"Percutaneous skeletal fixation of calcaneal fracture, with manipulation",4.32,090,
28415,"Open treatment of calcaneal fracture, includes internal fixation, when performed;",9.49,090,
28420,"Open treatment of calcaneal fracture, includes internal fixation, when performed; with primary iliac or other autogenous bone graft (includes obtaining graft)",10.35,090,
28430,Closed treatment of talus fracture; without manipulation,1.51,090,
28435,Closed treatment of talus fracture; with manipulation,2.67,090,
28436,"Percutaneous skeletal fixation of talus fracture, with manipulation",3.67,090,
28445,"Open treatment of talus fracture, includes internal fixation, when performed",7.77,090,
28446,"Open osteochondral autograft, talus (includes obtaining graft[s])",7.76,090,
28450,"Treatment of tarsal bone fracture (except talus and calcaneus); without manipula- tion, each",1.28,090,
28455,"Treatment of tarsal bone fracture (except talus and calcaneus); with manipulation, each",2.15,090,
28456,"Percutaneous skeletal fixation of tarsal bone fracture (except talus and calca- neus), with manipulation, each",3.45,090,
28465,"Open treatment of tarsal bone fracture (except talus and calcaneus), includes internal fixation, when performed, each",4.1,090,
28470,"Closed treatment of metatarsal fracture; without manipulation, each",1.48,090,
28475,"Closed treatment of metatarsal fracture; with manipulation, each",2.37,090,
