,Code,Description,Relative Value FUD,PC/TC Split
28730,"Arthrodesis, midtarsal or tarsometatarsal, multiple or transverse;",7.77,090,
28735,"Arthrodesis, midtarsal or tarsometatarsal, multiple or transverse; with osteotomy (eg, flatfoot correction)",7.77,090,
28737,"Arthrodesis, with tendon lengthening and advancement, midtarsal, tarsal navicu- lar-cuneiform (eg, Miller type procedure)",6.21,090,
28740,"Arthrodesis, midtarsal or tarsometatarsal, single joint",3.67,090,
28750,"Arthrodesis, great toe; metatarsophalangeal joint",4.64,090,
28755,"Arthrodesis, great toe; interphalangeal joint",3.45,090,
28760,"Arthrodesis, with extensor hallucis longus transfer to first metatarsal neck, great toe, interphalangeal joint (eg, Jones type procedure)",5.18,090,
28800,"Amputation, foot; midtarsal (eg, Chopart type procedure)",7.77,090,
28805,"Amputation, foot; transmetatarsal",7.77,090,
28810,"Amputation, metatarsal, with toe, single",5.18,090,
28820,"Amputation, toe; metatarsophalangeal joint",3.67,090,
28825,"Amputation, toe; interphalangeal joint",3.23,090,
28890,"Extracorporeal shock wave, high energy, performed by a physician or other quali- fied health care professional, requiring anesthesia other than local, including ultrasound guidance, involving the plantar fascia",2.79,090,
28899,"Unlisted procedure, foot or toes",BR,YYY,
29345,Application of long leg cast (thigh to toes);,0.64,000,
29355,Application of long leg cast (thigh to toes); walker or ambulatory type,0.84,000,
29358,Application of long leg cast brace,0.84,000,
29365,Application of cylinder cast (thigh to ankle),0.41,000,
29405,Application of short leg cast (below knee to toes);,0.49,000,
29425,Application of short leg cast (below knee to toes); walking or ambulatory type,0.59,000,
29435,Application of patellar tendon bearing (PTB) cast,0.74,000,
29440,Adding walker to previously applied cast,0.20,000,
29450,"Application of clubfoot cast with molding or manipulation, long or short leg",0.30,000,
29505,Application of long leg splint (thigh to ankle or,toes) 0.44,000,
29515,Application of short leg splint (calf to foot),0.35,000,
29540,Strapping; ankle and/or foot,0.21,000,
29550,Strapping; toes,0.13,000,
29580,Strapping; Unna boot,0.29,000,
29581,"Application of multi-layer compression system; leg (below knee), including ankle and foot",0.44,000,
29700,"Removal or bivalving; gauntlet, boot or body cast",0.25,000,
29730,Windowing of cast,0.15,000,
29740,Wedging of cast (except clubfoot casts),0.20,000,
29750,Wedging of clubfoot cast,0.20,000,
29799,"Unlisted procedure, casting or strapping",BR,YYY,
29891,"Arthroscopy, ankle, surgical, excision of osteochondral defect of talus and/or tibia, including drilling of the defect",10.45,090,
29892,"Arthroscopically aided repair of large osteochondritis dissecans lesion, talar dome fracture, or tibial plafond fracture, with or without internal fixation (includes arthroscopy)",12.27,090,
29893,Endoscopic plantar fasciotomy,2.56,090,
29894,"Arthroscopy, ankle (tibiotalar and fibulotalar joints), surgical; with removal of loose body or foreign body",7.51,090,
29895,"Arthroscopy, ankle (tibiotalar and fibulotalar joints), surgical; synovectomy, partial",7.11,090,
