Code,Description,Relative Value,,PC/TC Split
29897,"Arthroscopy, ankle (tibiotalar and fibulotalar joints), surgical; debridement, limited",7.11,090 FUD,
29898,"Arthroscopy, ankle (tibiotalar and fibulotalar joints), surgical; debridement, exten- sive",7.77,090,
29899,"Arthroscopy, ankle (tibiotalar and fibulotalar joints), surgical; with ankle arthrode- sis",9.83,090,
29904,"Arthroscopy, subtalar joint, surgical; with removal of loose body or foreign body",8.07,090,
29905,"Arthroscopy, subtalar joint, surgical; with synovectomy",8.80,090,
29906,"Arthroscopy, subtalar joint, surgical; with debridement",8.80,090,
29907,"Arthroscopy, subtalar joint, surgical; with subtalar arthrodesis",9.32,090,
29999,"Unlisted procedure, arthroscopy",BR,YYY,
64450,"Injection, anesthetic agent; other peripheral nerve or branch",0.35,000,
64455,"Injection(s), anesthetic agent and/or steroid, plantar common digital nerve(s) (eg, Morton's neuroma)",0.23,000,
64632,Destruction by neurolytic agent; plantar common digital nerve,0.82,010,
64640,Destruction by neurolytic agent; other peripheral nerve or branch,0.82,010,
64702,"Neuroplasty; digital, 1 or both, same digit",2.73,090,
64704,Neuroplasty; nerve of hand or foot,3.27,090,
64722,Decompression; unspecified nerve(s) (specify),4.18,090,
64726,Decompression; plantar digital nerve,1.82,090,
64727,"Internal neurolysis, requiring use of operating microscope (List separately in addi- tion to code for neuroplasty) (Neuroplasty includes external neurolysis)",2.80,ZZZ,
64774,"Excision of neuroma; cutaneous nerve, surgically identifiable",2.09,090,
64776,"Excision of neuroma; digital nerve, 1 or both, same digit",2.18,090,
64778,"Excision of neuroma; digital nerve, each additional digit (List separately in addition to code for primary procedure)",0.89,ZZZ,
64782,"Excision of neuroma; hand or foot, except digital nerve",2.91,090,
64783,"Excision of neuroma; hand or foot, each additional nerve, except same digit (List separately in addition to code for primary procedure)",1.45,ZZZ,
64787,Implantation of nerve end into bone or muscle (List separately in addition to neu- roma excision),3.18,ZZZ,
64788,Excision of neurofibroma or neurolemmoma; cutaneous nerve,3.27,090,
64831,"Suture of digital nerve, hand or foot; 1 nerve",3.41,090,
64832,"Suture of digital nerve, hand or foot; each additional digital nerve (List separately in addition to code for primary procedure)",2.27,ZZZ,
64834,"Suture of 1 nerve; hand or foot, common sensory nerve",3.73,090,
64837,"Suture of each additional nerve, hand or foot (List separately in addition to code for primary procedure)",2.27,ZZZ,
64890,"Nerve graft (includes obtaining graft), single strand, hand or foot; up to 4 cmlength",5.91,090,
64891,"Nerve graft (includes obtaining graft), single strand, hand or foot; more than 4 cm length",7.27,090,
64895,"Nerve graft (includes obtaining graft), multiple strands (cable), hand or foot; up to 4 cm length",8.91,090,
64896,"Nerve graft (includes obtaining graft), multiple strands (cable), hand or foot; more than 4 cm length",10.91,090,
64901,"Nerve graft, each additional nerve; single strand (List separately in addition to code for primary procedure)",2.95,ZZZ,
64902,"Nerve graft, each additional nerve; multiple strands (cable) (List separately in addition to code for primary procedure)",4.45,ZZZ,
64910,"Nerve repair; with synthetic conduit or vein allograft (eg, nerve tube), each nerve",4.55,090,
64911,"Nerve repair; with autogenous vein graft (includes harvest of vein graft), each nerve",5.36,090,
