,Code,Description,Relative Value
∞,09006,Foot molds (pair),4.25
∞,09007,Functional rigid appliance (pair),4.00
∞,09008,Shoes (pair),4.50
∞,09009,"Heel cup, single",1.20
∞,09010,"Heel cup, pair",1.50
∞,09011,"Bunion or bunionette jacket, single",1.20
∞,09012,"Bunion or bunionette jacket, multiple",1.50
∞,09013,"Missing parts (toes, forefoot, etc.)",BR
∞,09021,"Toe jacket, single",1.30
∞,09022,"Toe jacket, multiple (adjacent toes)",1.50
∞,09023,"Toe jacket, multiple (nonadjacent toes)",1.80
∞,09024,Silicone toe crest (one (foot),1.60
∞,09025,Silicone toe crest (both feet),2.35
∞,09026,Silicone toe crest (one foot) with dorsal retainer (one toe),1.80
∞,09027,Silicone toe crest (both feet) with dorsal retainer (multiple toes),2.55
∞,09028,Silicone toe crest (one foot) with dorsal retainer (multiple toes),2.00
∞,09029,Silicone toe crest (both feet) with dorsal retainer (multiple toes),2.75
∞,09030,Silicone toe crest with hallux wedge (one foot),2.00
∞,09031,Silicone toe crest with hallux wedge (both feet),2.75
∞,09032,"Moulded polyurethane toe device, (one or more lesser toes, one foot)",2.00
∞,09033,"Moulded polyurethane toe device, (one or more lesser toes, both feet)",3.00
∞,09034,"Moulded polyurethane toe device, hallux only (one foot)",2.25
∞,09035,"Moulded polyurethane toe device, hallux only (both feet)",3.25
∞,09036,"Moulded polyurethane toe device, hallux and lesser toes (one foot)",2.80
∞,09037,"Moulded polyurethane toe device, hallux and lesser toes (both feet)",3.80
∞,09038,"Moulded polyurethane toe device with plantar extension (one or more lesser toes, one foot)",2.80
∞,09039,"Moulded polyurethane toe device with plantar extension (one or more lesser toes, both feet)",3.80
∞,09040,"Moulded polyurethane toe device including hallux with plantar extension (one or more lesser toes, one foot)",3.00
∞,09041,"With plantar extension (one or more lesser toes, both feet)",4.00
∞,09042,"Bunion or bunionette jacket, single",1.50
∞,09043,"Bunion or bunionette jacket, multiple (one foot or both feet)",2.00
∞,09044,"Orthodigital splint (one or more toes, one foot)",2.00
∞,09045,"Orthodigital splint (one or more toes, both feet)",3.00
∞,09046,"Foot moulds, balance inlays, supports, etc. (pair)",7.00
∞,09047,"Functional rigid appliance, custom made (pair)",11.50
∞,09052,Shoes,BR
∞,09053,Missing parts,BR
