file	pages
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-24-1366-6697.pdf	25
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-24-1367-8505.pdf	25
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-24-1368-0799.pdf	22
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-24-1368-2241.pdf	22
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-24-1368-6504.pdf	27
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-24-1368-6548.pdf	27
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-24-1368-6563.pdf	27
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-24-1369-0325.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-24-1369-0337.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-24-1369-4218.pdf	32
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-24-1369-4253.pdf	31
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-24-1369-7818.pdf	
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-24-1370-2474.pdf	12
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-24-1370-2726.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-24-1370-4201.pdf	13
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-24-1370-5428.pdf	22
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-24-1370-6158.pdf	23
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-24-1370-7207.pdf	23
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-24-1370-9549.pdf	27
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-24-1370-9901.pdf	26
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-24-1370-9942.pdf	26
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-24-1370-9945.pdf	13
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-24-1371-0720.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-24-1373-3325.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-24-1373-4243.pdf	27
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-24-1373-4279.pdf	27
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-24-1373-4756.pdf	22
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-24-1373-7908.pdf	22
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-24-1374-0079.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-24-1374-0276.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-24-1374-0319.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-24-1374-6603.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-24-1375-4511.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-24-1375-6779.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-24-1376-1781.pdf	26
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-24-1376-2003.pdf	23
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-24-1376-2031.pdf	23
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-24-1376-2604.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-24-1376-2613.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-24-1376-5008.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-24-1376-5028.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-24-1376-5044.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-24-1376-6147.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-24-1376-6168.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-24-1377-1288.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-24-1377-1331.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-24-1378-2598.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-24-1378-3439.pdf	
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-24-1378-3672.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-24-1379-6958.pdf	22
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-24-1379-9355.pdf	23
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1380-3203.pdf	23
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1380-6082.pdf	23
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1380-6990.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1381-0724.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1381-0734.pdf	24
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1381-1754.pdf	25
C:\Users\Hamza\Desktop\legal_ai_test\fee-schedule-kag\final_cases\17-25-1381-2988.pdf	24
